QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy
Question 1684,hundred,one hundred,typo,MH
Question 1684,100,one hundred,typo,MH
Question 1684,10,ten,typo,MH
Question 1686,extrodinary,extraordinary ,typo,MH
Question 1686,magnificant,magnificent,typo,MH
Question 1688,spice,spices,plural,MH
Question 169,rail,railing,tense,MH
Question 169,kane,cane,typo,MH
Question 1690,dinosaurs,dinosaur,plural,MH
Question 1690,dinosauer,dinosaur,typo,MH
Question 1691,apperance,appearance,typo,MH
Question 1693,shutup,shut up,typo,MH
Question 1693,shut-up,shut up,typo,MH
Question 1695,tounge,tongue,typo,MH
Question 1695,tshirt,shirt,typo,MH
Question 1695,wongue,tongue,typo,MH
Question 1695,hankerchief,handkerchief,typo,MH
Question 1695,clothe,cloth,typo,MH
Question 1696,neddle,needle,typo,MH
Question 1697,perserverence,perseverence,typo,MH
Question 1697,hardwork,hard working,typo,MH
Question 17,compose,compost,typo,MH
Question 17,manuer,manure,typo,MH
Question 170,fillet,filet,typo,MH
Question 170,eye,eyes,plural,MH
Question 170 ,fins,fin,plural,MH
Question 1700,chastize,chastise,typo,MH
Question 1703,theif,thief,typo,MH
Question 1704,dogs,dog,plural,MH
Question 1705,diamond,diamonds,plural,MH
Question 1707,dred,dread,typo,MH
Question 171,mut,mutt,typo,MH
Question 1711,contols,controls,typo,MH
Question 1711,levers,lever,plural,MH
Question 1712,harrass,harass,typo,MH
Question 1712,embaress,embarass,typo,MH
Question 1713,elephant,elephants,plural,MH
Question 1713,tiger,tigers,plural,MH
Question 1713,lion,lions,plural,MH
Question 1713,giraffe,giraffes,plural,MH
Question 1714,bandaid,band aid,typo,MH
Question 1714,bandaide,band aid,typo,MH
Question 1714,band-aid,band aid,typo,MH
Question 1715,carribean,caribbean,typo,MH
Question 1717,awake,awaken,tense,MH
Question 1717,wakeup,awaken,tense,MH
Question 1717,wake,awaken,tense,MH
Question 1718,cold,coldness,typo,MH
Question 1718,the cold,coldness,tense,MH
Question 1719,husk,husks,plural,MH
Question 1719,silks,silk,plural,MH
Question 1719,cob,cobs,plural,MH
Question 1719,kernals,kernels,typo,MH
Question 1719,shucks,shucking,tense,MH
Question 1719,repetivness,repetitiveness,typo,MH
Question 1719,repition,repetition,typo,MH
Question 172,compase,compass,typo,MH
Question 172,fnger,finger,typo,MH
Question 172,sails,sail,plural,MH
Question 1723,ledgends,legend,typo,MH
Question 1723,religions,religion,plural,MH
Question 1723,traditions,tradition,plural,MH
Question 1726,knitted,knit,tense,MH
Question 1726,makes,made,typo,MH
Question 1726,sews,sewed,tense,MH
Question 1727,sails,sail,plural,MH
Question 1728,fannypack,fanny-pack,typo,MH
Question 1728,fanny pack,fanny-pack,typo,MH
Question 1731,scenary,scenery,typo,MH
Question 1731,mountain,mountains,plural,MH
Question 1735,prision,prison ,typo,MH
Question 1738,merger,merge,tense,MH
Question 174,rougue,rogue,typo,MH
Question 174,awall,awol ,typo,MH
Question 174,rouge,rogue,typo,MH
Question 1740,banks,bank,plural,MH
Question 1741,drink,drinks,plural,MH
Question 1742,dman,damn,typo,MH
Question 1743,matress,mattress,typo,MH
Question 1745,challlenging,challenging,typo,MH
Question 1745,diffiicult,difficult,typo,MH
Question 1745,harder,hard,tense,MH
Question 1746,doubt,doubts,plural,HG
Question 1746,problem,problems,plural,HG
Question 1746,to work,work,tense,HG
Question 1746,worried,worries,tense,HG
Question 1747,feet,feat,typo,HG
Question 1747,rask,task,typo,HG
Question 175,livingroom,living room,typo,MH
Question 1751,ruccous,ruckus,typo,MH
Question 1751,rucus,ruckus,typo,MH
Question 1752,scorpian,scorpion,typo,MH
Question 1752,ladybug,lady bug,typo,MH
Question 1754,puddle,puddles,plural,MH
Question 1756,hymnn,hymn,typo,MH
Question 1756,hyms,hymn,typo,MH
Question 1756,songs,song,plural,MH
Question 1759,bush,bushes,plural,MH
Question 1760,friends,friend,plural,MH
Question 1760,cats,cat,plural,MH
Question 1761,griend,friend,typo,MH
Question 1762,brige,bridge,typo,MH
Question 1764,vists,vista,typo,MH
Question 1764,views,view,plural,MH
Question 1764,mountain,mountains,plural,MH
Question 1764,vistas,vista,plural,MH
Question 1765,mut,mutt,typo,MH
Question 1766,caves,cave,plural,MH
Question 1766,mines,mine,plural,MH
Question 1769,hugh,huff,typo,MH
Question 177,terroists,terrorists,typo,MH
Question 177,wars,war,plural,MH
Question 1770,nausious,nauseous,typo,MH
Question 1770,nautious,nauseous,typo,MH
Question 1770,nausous,nauseous,typo,MH
Question 1770,retch,wretch,typo,MH
Question 1771,panick,panic,typo,MH
Question 1776,shoes ,shoe,plural,MH
Question 1779,tellall,tell,typo,MH
Question 1779,tick,tic,typo,MH
Question 178,tutrle,turtle,typo,MH
Question 1782,see-saw,seesaw,typo,MH
Question 179,excersize,exercise,typo,MH
Question 179,exericse,exercise,typo,MH
Question 1791,racoon,raccoon,typo,MH
Question 1791,suprise,surprise,typo,MH
Question 1794,sharing,share,tense,MH
Question 1796,symetry,symmetry,typo,MH
Question 1797,backseat,back seat,typo,MH
Question 180,working ,work,tense,MH
Question 180,classs,class,typo,MH
Question 1800,hate,hated,tense,MH
Question 1800,love,loved,tense,MH
Question 1803,dp,do,typo,MH
Question 1804,livingroom,living room,typo,MH
Question 1804,familyroom,family room,typo,MH
Question 1804,living-room,living room,typo,MH
Question 1805,morter,mortar,typo,MH
Question 1805,motar,mortar,typo,MH
Question 1805,motor,mortar,typo,MH
Question 1806,brick,bricks,plural,AZ
Question 1806,ruby,rubies,plural,AZ
Question 1806,diamond,diamonds,plural,AZ
Question 1806,rock,rocks,plural,AZ
Question 1807,the ice,ice,typo,AZ
Question 1807,groud,ground,typo,AZ
Question 1807,the ground,ground,typo,AZ
Question 1807,concret,concrete,typo,AZ
Question 1809,here,hear,typo,AZ
Question 181,soften it ,soften ,typo,MH
Question 181,thicken it,thicken,typo,MH
Question 1811,horde,hoard,typo,AZ
Question 1811,be stingey,be stingy,typo,AZ
Question 1812,lures,lure,plural,AZ
Question 1812,hooks,hook,plural,AZ
Question 1814,ome,one,typo,AZ
Question 1814,shoes ,shoe,plural,AZ
Question 1814,helment,helmet,typo,AZ
Question 1815,looser,loser,typo,AZ
Question 1815,dumbie,dummy,typo,AZ
Question 182,speciality,specialty ,typo,MH
Question 1820,models,model,plural,AZ
Question 1820,purchases,purchase,plural,AZ
Question 1820,trends,trend,plural,AZ
Question 1821,jeans,jean,plural,AZ
Question 1821,courduroy,corduroy,typo,AZ
Question 1826,argue,argye,typo,AZ
Question 1827,item,items,plural,AZ
Question 1827,dress,dresses,plural,AZ
Question 183,babies,baby,plural,MH
Question 183,ponies,pony,plural,MH
Question 183,foals,foal,plural,MH
Question 1831,coworker,coworkers,plural,HG
Question 1831,friend,friends,plural,HG
Question 1832,mountain,mountains,plural,HG
Question 1834,dwon,down,typo,HG
Question 1836,friedn,friend,typo,HG
Question 1837,expposed,exposed,typo,HG
Question 1837,uncoveredf,uncovered,typo,HG
Question 1838,sccop,scoop,typo,HG
Question 1839,gloves,glove,plural,HG
Question 1839,mittons,mittens,typo,HG
Question 1839,mit,mitt,typo,HG
Question 184,glass,glasses,plural,MH
Question 184,goblet,goblets,plural,MH
Question 1840,personality`,personality,typo,HG
Question 1841,the ship,ship,typo,HG
Question 1842,pen,pens,plural,HG
Question 1842,pencisl,pencils,typo,HG
Question 1844,nerd,nerds,plural,HG
Question 1844,minority,minorities,plural,HG
Question 1844,girl,girls,plural,HG
Question 1844,freshman,freshmen,plural,HG
Question 1844,teams,team,plural,HG
Question 1844,weakest,weak,tense,HG
Question 1845,tounge,tongue,typo,HG
Question 1845,lips,lip,plural,HG
Question 1846,fingers,finger,plural,HG
Question 1847,eminate,emanate,typo,HG
Question 1850,racoon,raccoon,typo,HG
Question 1854,excitment,excitement,typo,HG
Question 1854,anticpation,anticipation,typo,HG
Question 1854,suspence,suspense,typo,HG
Question 1855,pearch,perch,typo,MH
Question 1856,dual,duel,typo,MH
Question 1858,product,products,plural,MH
Question 1861,broke,broken,tense,MH
Question 1866,bosey,bossy,typo,MH
Question 1866,hon,hun,typo,MH
Question 187,id,show id,typo,MH
Question 1871,knives,knife,plural,MH
Question 1873,scatterened,scattered,typo,MH
Question 1876,pedistal,pedestal,typo,MH
Question 188,tierd,tired,typo,MH
Question 188,persistant,persistent ,typo,MH
Question 1880,scooner,schooner,typo,MH
Question 1881,doel,duel,typo,MH
Question 1881,dual,duel,typo,MH
Question 1882,likes,liked,tense,MH
Question 1882,antcipated,anticipated,typo,MH
Question 1885,til,till,typo,MH
Question 1886,ceral,cereal,typo,MH
Question 1886,oat,oats,plural,MH
Question 189,wants,wanted,tense,MH
Question 1890,sourer,sour,typo,MH
Question 1890,tarte,tart,typo,MH
Question 1891,rains,rain,plural,MH
Question 1891,winds,wind,plural,MH
Question 19,desert,dessert,typo,MH
Question 19,employee,employees,plural,MH
Question 1900,sleds,sled,plural,MH
Question 1900,sledge,sled,typo,MH
Question 1903,nosie,noise,typo,MH
Question 1903,houl,howl,typo,MH
Question 1904,awake,awaken,tense,MH
Question 1904,waken,wake,tense,MH
Question 1906,interupt,interrupt,typo,MH
Question 1907,crt,cry,typo,MH
Question 1908,letters,letter,plural,MH
Question 1909,seisure,seizure ,typo,MH
Question 191,fiind,find,typo,MH
Question 1910,missiing,missing,typo,MH
Question 1915,rel,real,typo,MH
Question 1916,ute,lute,typo,MH
Question 1918,rose,roses,plural,MH
Question 1918,trellace,trellis,typo,MH
Question 1918,vegetable,vegetables,plural,MH
Question 1921,peeve,pet peeve,typo,MH
Question 1921,petpeeve,pet peeve,typo,MH
Question 1921,pevee,pet peeve,typo,MH
Question 1921,peave,pet peeve,typo,MH
Question 1924,hopping,hop,tense,MH
Question 1926,sout,south,typo,MH
Question 1926,slow,slowly,tense,MH
Question 1927,fall,fell,tense,MH
Question 1928,flue,flu,typo,MH
Question 1929,arthirtis,arthritis,typo,MH
Question 1929,hips,hip,plural,MH
Question 193,lashing,lash,tense,MH
Question 1931,vacumn,vacuum,typo,MH
Question 1932,chairmam,chairman,typo,MH
Question 1932,counsel,council,typo,MH
Question 1933,limbs,limb,plural,MH
Question 1934,friend,friends,plural,MH
Question 1935,smell,smells,plural,MH
Question 1935,bed bugs,bedbugs,typo,MH
Question 1936,knfe,knife,typo,MH
Question 1937,numbers,number ,plural,MH
Question 1937,quanities,quantities,typo,MH
Question 1937,problems,problem,plural,MH
Question 1938,2nd,second,typo,MH
Question 1938,5th,fifth,typo,MH
Question 194,caugh,cough,typo,MH
Question 1941,divet,divot,typo,MH
Question 1943,rath,wrath,typo,MH
Question 1943,wratch,wrath,typo,MH
Question 1943,wratah,wrath,typo,MH
Question 1943,wraith,wrath,typo,MH
Question 1944,obitutary,obituary,typo,MH
Question 1944,euology,eulogy,typo,MH
Question 1946,rib,ribs,plural,MH
Question 1947,tree,trees,plural,MH
Question 1947,buildings,building,plural,MH
Question 1947,fences,fence,plural,MH
Question 1949,rosemarry,rosemary,typo,MH
Question 195,awake,awaken,tense,MH
Question 195,waken,wake,tense,MH
Question 1950,flush,flushed,tense,MH
Question 1951,fall,fell,tense,MH
Question 1952,breath,breathe,typo,MH
Question 1956,broach,brooch,typo,MH
Question 1957,dispise,despise,typo,MH
Question 1958,superviser,supervisor,typo,MH
Question 1963,coughing,cough,tense,MH
Question 1963,couch,cough,typo,MH
Question 1965,lacked,lack,tense,MH
Question 1965,envied,envy,tense,MH
Question 1966,fall,fail,typo,MH
Question 1969,crows,crow,plural,MH
Question 1970,breifcase,briefcase,typo,MH
Question 1972,blueberries,blueberry,plural,MH
Question 1973,job,jog,typo,MH
Question 1974,acheive,achieve,typo,MH
Question 1976,scar,scars,plural,MH
Question 1976,gray hair,grey hair,typo,MH
Question 1978,signs,sign,plural,MH
Question 1979,badly,bad,tense,MH
Question 1979,slowly,slow,tense,MH
Question 1981,tounge,tongue,typo,MH
Question 1981,kiss,kisses,plural,MH
Question 1981,licks,licking,tense,MH
Question 1984,breath,breathe,typo,MH
Question 1987,mice,mouse,plural,MH
Question 1987,rats,rat,plural,MH
Question 1987,varmint,vermin,typo,MH
Question 1987,raccoons,raccoon,plural,MH
Question 1989,warrent,warrant,typo,MH
Question 1989,ultimatium,ultimatum,typo,MH
Question 199,beautuful,beautiful,typo,MH
Question 1990,rib,ribs,plural,MH
Question 1990,bone,bones,plural,MH
Question 1993,views,view,plural,MH
Question 1993,openess,openness,typo,MH
Question 1993,scenary,scenery,typo,MH
Question 1994,teath,teethe,typo,MH
Question 1995,liqiuor,liquor,typo,MH
Question 1997,frey,fray,typo,MH
Question 1997,shread,shred,typo,MH
Question 1997,ripe,rip,typo,MH
Question 1997,ripped,rip,tense,MH
Question 1997,shredded,shred,tense,MH
Question 1999,movie,movies,plural,MH
Question 20,rach,rack,typo,MH
Question 20,racks,rack,plural,MH
Question 20,shelve,shelf,typo,MH
Question 20,shelves,shelf,plural,MH
Question 2000,raffel,raffle ,typo,MH
Question 2001,jewlrey,jewelry,typo,MH
Question 2001,sandles,sandals,typo,MH
Question 2005,wines,wine,plural,MH
Question 2007,sussh,shush,typo,MH
Question 201,hands,hand,plural,MH
Question 2011,awoken,woke,typo,MH
Question 2011,awoke,woke,typo,MH
Question 2011,woke up,wakes up,tense,MH
Question 2012,leavre,leave,typo,MH
Question 2012,leav,leave,typo,MH
Question 2015,stal,stall,typo,MH
Question 2016,needle,needles,plural,MH
Question 2016,machines,machine,plural,MH
Question 2016,patterns,pattern,plural,MH
Question 2018,cantine,canteen,typo,MH
Question 2018,bottles,bottle,plural,MH
Question 202,the mess,mess,typo,MH
Question 2021,fee,fees,plural,MH
Question 2021,charge,charges,plural,MH
Question 2021,cost,costs,plural,MH
Question 2028,pih,pig,typo,MH
Question 2028,pigs,pig,plural,MH
Question 2028,cows,cow,plural,MH
Question 2030,measels,measles,typo,MH
Question 2030,chickenpox,chicken pox,typo,MH
Question 2031,accomplismnet,accomplishment,typo,MH
Question 2031,acheivement,achievement,typo,MH
Question 2033,pieces,piece,plural,MH
Question 2034,iceream,ice cream,typo,MH
Question 2034,ice-cream,ice cream,typo,MH
Question 2034,plate,plates,plural,MH
Question 2034,presents,present,plural,MH
Question 2036,punvh,punch,typo,MH
Question 2036,puch,punch,typo,MH
Question 2037,walls,wall,plural,MH
Question 2037,pipes,pipe,plural,MH
Question 2039,beeker,beaker,typo,MH
Question 204,friend,friends,plural,MH
Question 204,buddy,buddies,plural,MH
Question 204,pal,pals,plural,MH
Question 2040,rocks,rock,plural,MH
Question 2040,stones,stone,plural,MH
Question 2041,menance,menace ,typo,MH
Question 2041,gul,gull,typo,MH
Question 2041,sea gull,seagull,typo,MH
Question 2043,3rd,third,typo,MH
Question 2044,spoke,spokes,plural,MH
Question 2044,gear,gears,plural,MH
Question 2044,peddle,pedal,typo,MH
Question 2047,kinfe,knife,typo,MH
Question 2050,insaine,insane,typo,MH
Question 2050,epilectic,epileptic,typo,MH
Question 2053,deeds,deed,plural,MH
Question 2053,efforts,effort,plural,MH
Question 2054,expolsion,explosion,typo,MH
Question 2055,temples,temple,plural,MH
Question 2056,howling,howl,tense,MH
Question 2057,breastroke,breaststroke,typo,MH
Question 2057,floatie,floaty,typo,MH
Question 2057,floatee,floaty,typo,MH
Question 2058,sommersault,somersault,typo,MH
Question 2058,fip,flip,typo,MH
Question 2058,summersault,somersault,typo,MH
Question 2059,burds,birds,typo,MH
Question 2059,bird,birds,plural,MH
Question 2059,kites,kite,plural,MH
Question 2059,squirrels,squirrel,plural,MH
Question 2059,planes,plane,plural,MH
Question 2059,goose,geese,plural,MH
Question 2059,balloons,balloon,plural,MH
Question 206,rythm,rhythm,typo,MH
Question 206,tones,tone,plural,MH
Question 206,rhythms,rhythm,plural,MH
Question 206,sound,sounds,plural,MH
Question 2060,failsure,failure,typo,MH
Question 2062,birds,bird,plural,MH
Question 2063,stubborness,stubbornness,typo,MH
Question 2065,debutantes,debutante,plural,MH
Question 2065,belles,belle,plural,MH
Question 2066,burb,burp,typo,MH
Question 2067,traffit,traffic,typo,MH
Question 2067,winds,wind,plural,MH
Question 2067,weights,weight,plural,MH
Question 2068,naif,naive,typo,MH
Question 2069,sadle,saddle,typo,MH
Question 2069,hoove,hoof,typo,MH
Question 207,discipine,discipline ,typo,MH
Question 207,discipline him,discipline ,typo,MH
Question 2070,conrol,control,typo,MH
Question 2072,giraff,giraffe,typo,MH
Question 2072,tigers,tiger,plural,MH
Question 2072,chimps,chimp,plural,MH
Question 2077,respect,respected,tense,MH
Question 208,sweety,sweetie,typo,MH
Question 208,princecess,princess,typo,MH
Question 2083,breath,breathe,typo,MH
Question 2085,birds,bird,plural,MH
Question 2085,bats,bat,plural,MH
Question 2085,bugs,bug,plural,MH
Question 2085,insects,insect,plural,MH
Question 2085,bees,bee,plural,MH
Question 2086,meet,met,tense,MH
Question 2086,dated,date,tense,MH
Question 2088,wiskey,whiskey,typo,MH
Question 2088,alchol,alcohol,typo,MH
Question 2089,brided,bride,typo,MH
Question 209,awake,awaken,tense,MH
Question 209,waken,wake,tense,MH
Question 2091,dolphin,dolphins,plural,MH
Question 2091,sharks,shark,plural,MH
Question 2093,subpeona,subpoena,typo,MH
Question 2093,supoena,subpoena,typo,MH
Question 2093,subpena,subpoena,typo,MH
Question 2093,warrent,warrant,typo,MH
Question 2095,sneet,sneer,typo,MH
Question 2097,hari,hair,typo,MH
Question 2099,wierdo,weirdo,typo,MH
Question 2099,wierd,weird,typo,MH
Question 21,curves,curve,plural,MH
Question 210,scowl,scoul,typo,MH
Question 2100,walls,wall,plural,MH
Question 2101,wash cloth,washcloth,typo,MH
Question 2101,wash cloth,washcloth,typo,SDW
Question 2104,styles,style,plural,SDW
Question 2107,mangos,mangoes,typo,SDW
Question 2107,mango,mangoes,plural,SDW
Question 2107,liqour,liquor,typo,SDW
Question 2107,real mago in it,real mango in it,typo,SDW
Question 2109,trumpets,trumpet,plural,SDW
Question 2109,trumptet,trumpet,typo,SDW
Question 2109,flutes,flute,plural,SDW
Question 2109,song,songs,plural,SDW
Question 211,sirene ,serene ,typo,MH
Question 211,shadey,shady,typo,MH
Question 2110,bowel,bow,typo,SDW
Question 2111,cloke,cloak,typo,SDW
Question 2112,stronger,strong,tense,SDW
Question 2114,haul it,haul,typo ,SDW
Question 2114,move it,move,typo,SDW
Question 2114,deliver it ,deliver,typo,SDW
Question 2116,proposing,proposed,tense,SDW
Question 2116,tought,taught,typo,SDW
Question 2116,teached,taught,tense,SDW
Question 2117,chest,chests,plural,SDW
Question 2117,breathes,breathing,typo,SDW
Question 2117,breath,breathing,plural,SDW
Question 2117,jowels,jowls,typo,SDW
Question 2117,breaths,breathing,tense,SDW
Question 2117,drooling,drool,tense,SDW
Question 2118,pizza,pizzas,plural,SDW
Question 2118,newspaper,newspapers,plural,SDW
Question 2119,wimper,whimper,typo,SDW
Question 212,embarass,embarrass,typo,MH
Question 212,sabatoge,sabotage,typo,MH
Question 2120,theif,thief,typo,SDW
Question 2120,scoundral,scoundrel,typo,SDW
Question 2122,jokes,joke,plural,SDW
Question 2122,clowns,clown,plural,SDW
Question 2122,shoe,show,typo,SDW
Question 2123,steel,steal,typo,SDW
Question 2125,hooi,hook,typo,SDW
Question 2127,sasucer,saucer,typo,SDW
Question 2128,scariest,scary,tense,SDW
Question 213,gliter,glitter,typo,MH
Question 213,jewelery,jewelry ,typo,MH
Question 2130,ambiguious,ambiguous,typo,SDW
Question 2131,chirp,chirping,tense,SDW
Question 2131,squack,squawk,typo,SDW
Question 2131,squawking,squawk,tense,SDW
Question 2131,chriping,chirping,tense,SDW
Question 2131,caws,caw,plural,SDW
Question 2131,cawing,caw,tense,SDW
Question 2131,squak,squawk,typo,SDW
Question 2131,chirps,chirping,tense,SDW
Question 2134,tune-up,tuneup,typo,SDW
Question 2134,tune up,tuneup,typo,SDW
Question 2134,washing,wash,tense,SDW
Question 2134,tuning,tuneup,tense,SDW
Question 2135,knighthod,knighthood,typo,SDW
Question 2135,servent,servant ,typo,SDW
Question 2136,dradle,dreidel,typo,SDW
Question 2137,sepository,suppository,typo,SDW
Question 2138,at,cat,typo,SDW
Question 214,bears,bear,plural,MH
Question 2140,walk,walking,tense,SDW
Question 2140,approach,approaching,tense,SDW
Question 2140,running,run,tense,SDW
Question 2140,fishing,fish,tense,SDW
Question 2141,coup,coop,typo,SDW
Question 2143,regular occurence,regular occurrence,typo,SDW
Question 2146,chipped,chip,tense,SDW
Question 2149,jerk,a jerk,typo,SDW
Question 2150,whether,weather,typo,SDW
Question 2151,shapes,shape,plural,SDW
Question 2152,friends,friend,plural,SDW
Question 2152,hobbits,hobbies,typo,SDW
Question 2152,penicl,pencil,typo,SDW
Question 2153,nicer,nice,tense,SDW
Question 2153,comfortimg,comforting,typo,SDW
Question 2154,moulder,molder,typo,SDW
Question 2156,doubts,doubt,plural,SDW
Question 2159,pedifile,pedophile,typo,SDW
Question 2159,theif,thief,typo,SDW
Question 2159,molestor,molester,typo,SDW
Question 216,cleaners,cleaner,plural,MH
Question 2160,gage,gag,typo,SDW
Question 2160,whince,wince,typo,SDW
Question 2162,grownded,grounded,typo,SDW
Question 2163,armyq,army,typo,SDW
Question 2167,theif,thief,typo,SDW
Question 2167,their,thief,typo,SDW
Question 2168,pinache,panache,typo,SDW
Question 2168,informatiohn,information,typo,SDW
Question 2168,ethuasiam,enthusiasm,typo,SDW
Question 2169,inks,ink,plural,SDW
Question 2173,eyes,eye,plural,SDW
Question 2174,have tooth,have a tooth,typo,SDW
Question 2174,teeth,teethe,typo,SDW
Question 2176,fued,feud,typo,SDW
Question 2178,foot,feet,plural,SDW
Question 2178,knees,knee,plural,SDW
Question 2179,figures,figure,plural,SDW
Question 2179,body,bodies,plural,SDW
Question 2180,dispair,despair,typo,SDW
Question 2181,activated,active,tense,SDW
Question 2182,swirve,swerve,typo,SDW
Question 2183,jurk,jerk,typo,SDW
Question 2184,dunse,dunce,typo,SDW
Question 2185,bells,bell,plural,SDW
Question 2185,wale,wail,typo,SDW
Question 2185,wails,wail,plural,SDW
Question 2185,songs,songs,plural,SDW
Question 2185,wives,wife,plural,SDW
Question 2185,mothers,mother,plural,SDW
Question 2185,families,family,plural,SDW
Question 2185,child,children,plural,SDW
Question 2185,women,woman,plural,SDW
Question 2186,deodrant,deodorant,typo,SDW
Question 2187,meals,meal,plural,SDW
Question 2187,sop,soup,typo,SDW
Question 2189,teeth,tooth,plural,SDW
Question 219,hung,hanging,tense,MH
Question 2190,locks,lock,plural,SDW
Question 2190,waters,water,plural,SDW
Question 2190,wtaer,water,typo,SDW
Question 2193,mated,mate,tense,SDW
Question 2193,rutt,rut,typo,SDW
Question 2196,ontop,on top,typo,JP
Question 2197,better,bet,typo,SDW
Question 2198,bills,bill,plural,SDW
Question 2198,debts,debt,plural,SDW
Question 2199,oppulent,opulent,typo,SDW
Question 2199,glamerous,glamorous,typo,SDW
Question 2199,pricy,pricey,typo,SDW
Question 2199,exlusive,exclusive,typo,SDW
Question 2199,extravagant,extravagent,typo,SDW
Question 220,emotion,emotions,plural,MH
Question 220,hatred,hate,tense,MH
Question 220,desires,desire,plural,MH
Question 2202,reefs,reef,plural,MP 
Question 2202,oceans,ocean,plural,MP 
Question 2202,caves,cave,plural,MP 
Question 2202,waters,water,plural,MP 
Question 2203,live,live by,typo,MP 
Question 2205,moving,move,tense ,MP 
Question 2205,chug by,chug,typo,MP 
Question 2205,startup,start,typo,MP 
Question 2205,left ,leave,typo,MP 
Question 2208,show up,show,typo,MP 
Question 2209,movie,movies ,plural,MP 
Question 2209,the movie,movies ,plural,MP 
Question 2209,shows,show,plural,MP 
Question 2209,play,the play,plural,MP 
Question 2211,mit,mitt,typo,MP 
Question 2212,spary,spray,typo,MP 
Question 2213,gaff,gaffe ,typo,MP 
Question 2213,embarassment,embarrassment,typo,MP 
Question 2214,soldiers,soldier,plural,MP 
Question 2215,professors,professor,plural,MP 
Question 2215,prefessors,professor,typo,MP 
Question 2215,prsident,president,typo,MP 
Question 2215,deans,dean,plural,MP 
Question 2217,arguing ,argue,plural,MP 
Question 2217,figh,fight,typo,MP 
Question 2217,voice,voices,plural,MP 
Question 2217,yelling,yell,tense,MP 
Question 2219,tir,tie,typo,MP 
Question 222,screemed,screamed,typo,MH
Question 2221,chocke,choke,typo,MP 
Question 2222,from her eyes,from her eye,plural,MP 
Question 2223,nerve,nerves ,plural,MP 
Question 2223,organs,organ,plural,MP 
Question 2224,noun or ajective,noun or adjective,typo,MP 
Question 2224,synomym,synonym,typo,MP 
Question 2224,legitamate,legitimate,typo,JP
Question 2227,hills,hill,plural,MP 
Question 2227,mountain,mountains,plural,MP 
Question 2228,due,do,typo,MP 
Question 2229,workethic,work ethic,typo,MP 
Question 2231,arguement,argument,typo,MP 
Question 2232,cooca,cocoa,typo,MP 
Question 2232,coco,cocoa,typo,MP 
Question 2235,voided,void,typo,MP 
Question 2235,nulled,null,typo,MP 
Question 2236,churhc,church,typo,MP 
Question 2236,capitol,capital,typo,JP
Question 2237,waer,water,typo,MP 
Question 2237,lightening,lightning,typo,MP 
Question 2239,figures,figure,plural,MP 
Question 2239,painting,paintings,plural,MP 
Question 2239,animal,animals,plural,MP 
Question 2239,designs,design,plural,MP 
Question 2239,statues,statue,plural,MP 
Question 2239,diety,deity,typo,MP 
Question 2239,remnents,remnants,typo,MP 
Question 2239,piece,pieces,plural,MP 
Question 2239,creature,creatures,plural,MP 
Question 224,shutup,shut up ,typo,MH
Question 2240,professsor,professor,typo,MP 
Question 2240,profesor,professor,typo,MP 
Question 2241,grey,gray,typo,MP 
Question 2242,sow,sew,typo,MP 
Question 2244,fowl,foul,typo,MP 
Question 2245,pizazz,pizzazz,typo,MP 
Question 2246,fishing-pole,fishing pole,typo,MP 
Question 2247,lemonaid,lemonade,typo,MP 
Question 2247,lemondade,lemonade,typo,MP 
Question 2247,kool-aid,koolaid,typo,MP 
Question 2248,rythem,rhythm,typo,MP 
Question 2248,rythmn,rhythm,typo,MP 
Question 2248,rythym,rhythm,typo,MP 
Question 2248,rythm,rhythm,typo,MP 
Question 225,fall,fell,tense,MH
Question 2252,decorations,decoration,plural,MP 
Question 2253,provinces,province ,plural,MP 
Question 2258,counseler,counselor,typo,MP 
Question 2258,counsler,counselor,typo,MP 
Question 2258,principle,principal,typo,MP 
Question 2261,plant,plants,plural,MP 
Question 2262,evened,even,typo,MP 
Question 2264,chug it,chug,typo,MP 
Question 2264,guzzling,guzzle,typo,MP 
Question 2268,cirdle,circle,typo,MP 
Question 2268,circe,circle,typo,MP 
Question 2269,ponytails,ponytail ,plural,MP 
Question 2269,buns,bun,plural,MP 
Question 2269,a bun,bun,typo,MP 
Question 2269,a pony tail,ponytail ,typo,MP 
Question 2269,up-does,updo,typo,MP 
Question 2273,unwind it,unwind,typo,MP 
Question 2273,unravel it,unravel,typo,MP 
Question 2275,shoe,shoo,typo,MP 
Question 2275,shew,shoo,typo,MP 
Question 2276,scabbord,scabbard,typo,MP 
Question 2276,hostler,holster,typo,MP 
Question 2276,scabord,scabbard,typo,MP 
Question 2276,sheathe,sheath,typo,MP 
Question 2276,scabard,scabbard,typo,MP 
Question 2276,scarab,scabbard,typo,MP 
Question 2279,putter,sputter,typo,MP 
Question 2282,for,fur,typo,MP 
Question 2283,mouse,mousse,typo,MP 
Question 2284,wate,water,typo,MP 
Question 2286,cakes,cake,plural,MP 
Question 2288,tails,tail,plural,MP 
Question 2288,cuds,cud,plural,MP 
Question 2288,curd,cud,typo,MP 
Question 2289,dye,dyes,plural,MP 
Question 2289,reaction,reactions,plural,MP 
Question 2289,processing,processes,typo,MP 
Question 229,ghosts,ghost,plural,MH
Question 2291,insults,insult,plural,MP 
